Companyname;Codex;untilseason;Devicemodel;Comments;Description;valid;Precision
AGIL;AGI.078T.09;2028;IMHP 870;With external printer;Timer;1;1/1000
ALGE;ALG.091.23;2031;MT1;With external printer;Timer;1;1/10000
ALGE;ALG.005T.10;2028;S4;With external printer;Timer;1;1/1000
ALGE;ALG.002T.10;2031;TdC 8000;;Timer;1;1/10000
ALGE;ALG.003T.10;2031;TdC 8001;;Timer;1;1/10000
ALGE;ALG.093.23;2031;TED2-RX;With external printer;Timer;1;1/10000
ALGE;ALG.092.23;2031;TED2-TX;With external printer;Timer;1;1/10000
ALGE;ALG.001T.10;2031;Timy PXE;;Timer;1;1/10000
ALGE;ALG.004T.10;2031;Timy XE;With external printer;Timer;1;1/10000
ALGE;ALG.080T.10;2031;Timy2 PXE;;Timer;1;1/10000
ALGE;ALG.083T.10;2031;Timy2 XE;With external printer;Timer;1;1/10000
ALGE;ALG.089.14;2031;Timy3 W;With external printer;Timer;1;1/10000
ALGE;ALG.090.14;2031;Timy3 WP;;Timer;1;1/10000
ALGE;ALG.S51.03;2031;STScM2S;;Start gate;1;
ALGE;ALG.S81T.10;2031;STSnM2;;Start gate;1;
ALGE;ALG.S53T.10;2031;STSnM2S;;Start gate;1;
ALGE;ALG.S52.03;2031;STSnQ;;Start gate;1;
ALGE;ALG.x102.16;2031;StartdoorSSD1;;Start door;1;
ALGE;ALG.L74T.09;2031;PR1a;;Photo cell;1;
ALGE;ALG.L91.14;2031;PR1aW;Only wired is allowed;Photo cell;1;
ALGE;ALG.L65.03;2031;RLS1;;Photo cell;1;
ALGE;ALG.L44.03;2031;RLS1c;;Photo cell;1;
ALGE;ALG.L66.03;2031;RLS1c RX;;Photo cell;1;
ALGE;ALG.L45.03;2031;RLS1n;;Photo cell;1;
ALGE;ALG.L46.03;2031;RLS1n RX;;Photo cell;1;
ALGE;ALG.P270.24;2031;OPTIc3;;Photo finish;1;1/10000
ALGE;ALG.P271.24;2031;OPTIc3-PRO;;Photo finish;1;1/10000
BRANDAUER;BRA.x96.15;2031;Startdoor SG2;;Start door;1;
DIGITECH;DIG.087.14;2029;MASTER 3;;Timer;1;1/1000
EMIT;EMI.001T.20;2035;ETS2;;Timer;1;1/1000000
FDS-TIMING;FDS.001T.20;2035;TBox;With external printer;Timer;1;1/10000
FDS-TIMING;FDS.S274.25;2031;WISG-FIS;Only wired is allowed;Start gate;1;
FDS-TIMING;FDS.L001.20;2035;WIRC;Only wired is allowed;Photo cell;1;
ITS Chrono;ITS.L276.25;2031;ITSPH-EM + ITSPH-RC;Two separated physical devices for system A and B are needed;Photo cell;1;
LONGINES;LON.003T.10;2028;TL5005;;Timer;1;1/1000
LONGINES;LON.S57.03;2031;B65;;Start gate;1;
LONGINES;LON.S58.03;2031;CAP021;;Start gate;1;
LYNX;LYN.P268.24;2031;EtherLynx Vision;;Photo finish;1;1/10000
LYNX;LYN.P269.24;2031;EtherLynx Vision PRO;;Photo finish;1;1/10000
MICROGATE;MGA.005T.24;2031;HLK001;With external printer;Timer;1;1/10000
MICROGATE;MGA.006T.24;2031;HLK101;With external printer;Timer;1;1/10000
MICROGATE;MGA.002T.11;2028;RACETIME2;;Timer;1;1/1000
MICROGATE;MGA.001T.15;2031;REI 2;;Timer;1;1/10000
MICROGATE;MGA.003T.19;2034;REI.PRO;;Timer;1;1/10000
MICROGATE;MGA.004T.22;2037;RTPRO;;Timer;1;1/10000
MICROGATE;MGA.S56.03;2031;FIS;;Start gate;1;
MICROGATE;MGA.S266.24;2031;HiStart HSG001;;Start gate;1;
MICROGATE;MGA.S82T.10;2031;Startgate;;Start gate;1;
MICROGATE;MGA.L69.03;2031;FCT3;;Photo cell;1;
MICROGATE;MGA.L70.23;2031;HSS001;Only wired is allowed;Photo cell;1;
MICROGATE;MGA.L70.24;2031;HSS002;;Photo cell;1;
OMEGA;OME.001T.97;2028;OGM5005;;Timer;1;1/1000
OMEGA;OME.003T.16;2031;POWERTIME;;Timer;1;1/1000
OMEGA;OME.S59.03;2031;OSG2;;Start gate;1;
OMEGA;OME.L67.03;2031;Transtime;;Photo cell;1;
RADIOCOMS SYSTEMES;RAD.T275.25;2031;Data Sprint 2;With external printer;Timer;1;1/10000
SEIKO;SEI.002T.11;2028;CT-400;;Timer;1;1/1000
SEIKO;SEI.084T.11;2028;CT-500;;Timer;1;1/1000
SEIKO;SEI.270T.24;2031;CT-600;;Timer;1;1/10000
SEIKO;SEI.075T.09;2028;MPT-07;;Timer;1;1/1000
SEIKO;SEI.S55.03;2031;SG800;;Start gate;1;
SEIKO;SEI.S93.14;2031;SG900;;Start gate;1;
SEIKO;SEI.L99.16;2031;PBU-1000;;Photo cell;1;
SEIKO;SEI.L60.03;2031;PBU-600;;Photo cell;1;
SEIKO;SEI.L61.03;2031;PBU-601;;Photo cell;1;
SEIKO;SEI.L62.03;2031;PBU-700;;Photo cell;1;
SEIKO;SEI.L63.03;2031;PBU-710;;Photo cell;1;
SEIKO;SEI.L64.03;2031;PBU-800;;Photo cell;1;
SEIKO;SEI.L65.03;2031;PBU-810;;Photo cell;1;
SEIKO;SEI.L98.16;2031;PBU-900;;Photo cell;1;
SETTELE;SET.x94.15;2031;Startdoor FIS;;Start door;1;
SETTELE;SET.x95.15;2031;Startdoor WC;;Start door;1;
SIMARD FABRICATION MÉCANIQUE;SIM.x140.20;2035;Start door;Only for parallel events;Start door;1;
SUMMIT SYSTEMS;SUM.002T.22;2037;SRT2000;With external printer;Timer;1;1/10000
SWISS TIMING;SWI.071T.10;2031;Chronos;;Timer;1;1/10000
SWISS TIMING;SWI.088T.23;2031;POWER TIME III;With external printer;Timer;1;1/1000000
SWISS TIMING;SWI.087T.22;2037;Q-TIMER;With external printer;Timer;1;1/1000000
SWISS TIMING;SWI.086.12;2031;Quantum;With external printer;Timer;1;1/1000000
SWISS TIMING;SWI.S79T.09;2031;SNOWGATE;;Start gate;1;
SWISS TIMING;SWI.S009.20;2035;SNOWGATE II;;Start gate;1;
SWISS TIMING;SWI.x88.14;2031;Startdoor;;Start door;1;
SWISS TIMING;SWI.L85T.11;2031;Arges;;Photo cell;1;
SWISS TIMING;SWI.L73T.10;2031;Cyclop/CAP 059B;;Photo cell;1;
SWISS TIMING;SWI.L68T.10;2031;OEC4;formerly Omega/Longines;Photo cell;1;
SWISS TIMING;SWI.L97.15;2031;Snowgines;;Photo cell;1;
SWISS TIMING;SWI.P267.24;2031;Myria;;Photo finish;1;1/10000
TAG HEUER;TAG.070T.08;2031;CP 540;;Timer;1;1/100000
TAG HEUER;TAG.092.14;2031;CP 545;;Timer;1;1/100000
TAG HEUER;TAG.076T.09;2031;Minitimer HL440;With external printer;Timer;1;1/100000
TAG HEUER;TAG.005T.10;2031;PTB 605 / PTB 606;With external printer;Timer;1;1/10000
TAG HEUER;TAG.S54.03;2031;HL7-1;;Start gate;1;
TAG HEUER;TAG.S77T.09;2031;HL7-1P;;Start gate;1;
TAG HEUER;TAG.L47.03;2031;HL 2-31;;Photo cell;1;
TAG HEUER;TAG.L49T.10;2031;HL 2-32;;Photo cell;1;
TAG HEUER;TAG.L50.03;2031;HL 2-33;Two separated physical devices for system A and B are needed;Photo cell;1;
TAG HEUER;TAG.L48.03;2031;HL 2-35 R-E;;Photo cell;1;
TAG HEUER;TAG.L100.16;2031;HL 3-135;Only wired is allowed;Photo cell;1;
TAG HEUER;TAG.L103.17;2032;HL 3-500;Only wired is allowed;Photo cell;1;
WALDSPURGER;WAL.x104.18;2035;Start door;Only for Ski Cross (SX) finals level 4;Start door;1;
